,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,itarema,92,BR,1547170635,94,-2.92,-39.92,73.51,3.6
1,ushuaia,40,AR,1547168400,47,-54.81,-68.31,57.2,18.34
2,port elizabeth,1,US,1547168160,53,39.31,-74.98,33.98,14.99
3,mataura,92,NZ,1547170635,73,-46.19,168.86,55.78,20.83
4,puerto ayora,20,EC,1547164800,65,-0.74,-90.35,78.8,12.75
5,severo-kurilsk,0,RU,1547170636,100,50.68,156.12,19.51,2.82
6,neepawa,20,CA,1547168400,78,50.23,-99.46,8.6,4.7
7,mar del plata,0,AR,1547170637,46,-46.43,-67.52,62.75,18.03
8,cherskiy,0,RU,1547170637,53,68.75,161.3,0.61,8.3
9,darab,12,IR,1547170638,59,28.75,54.55,33.19,4.61
10,bluff,92,AU,1547170638,76,-23.58,149.07,80.17,10.42
11,namibe,0,AO,1547170639,100,-15.19,12.15,73.01,1.59
12,mecca,0,SA,1547170639,81,21.43,39.83,51.82,2.71
13,hermanus,0,ZA,1547170639,95,-34.42,19.24,49.21,4.16
14,valparaiso,90,US,1547169300,74,41.47,-87.06,28.4,3.94
15,acajutla,0,SV,1547167800,47,13.59,-89.83,77.0,8.05
16,barrow,0,AR,1547170641,80,-38.31,-60.23,48.08,2.71
17,magrath,20,CA,1547168400,52,49.42,-112.86,42.8,23.04
18,carnarvon,0,ZA,1547170641,56,-30.97,22.13,49.48,2.82
19,salalah,0,OM,1547167800,72,17.01,54.1,68.0,2.24
20,ipu,64,BR,1547170642,95,-4.32,-40.71,64.28,2.04
21,jaleswar,0,IN,1547170643,83,21.8,87.22,65.18,8.41
22,malanje,44,AO,1547170643,86,-9.54,16.35,65.9,5.28
23,punta arenas,0,CL,1547168400,62,-53.16,-70.91,55.4,24.16
24,jamestown,0,AU,1547170644,63,-33.21,138.6,84.13,7.85
25,guangyuan,0,CN,1547170644,57,32.43,105.86,36.56,2.71
26,longyearbyen,90,NO,1547167800,72,78.22,15.63,17.6,31.09
27,yellowknife,90,CA,1547169480,76,62.45,-114.38,-9.41,17.22
28,hilo,1,US,1547167980,60,19.71,-155.08,78.98,11.41
29,goreloye,88,RU,1547170647,87,52.92,41.5,14.83,11.32
30,sur,8,OM,1547170647,100,22.57,59.53,70.85,2.48
31,puerto carreno,0,CO,1547168400,62,6.19,-67.49,84.2,3.36
32,vaini,0,IN,1547164800,76,15.34,74.49,53.6,4.05
33,rikitea,44,PF,1547170649,99,-23.12,-134.97,79.72,16.46
34,saldanha,0,PT,1547170649,88,41.42,-6.55,21.98,5.61
35,linxia,0,CN,1547170650,29,35.6,103.21,22.61,5.73
36,fortuna,0,ES,1547168400,55,38.18,-1.13,37.4,4.7
37,cabo san lucas,40,MX,1547167860,83,22.89,-109.91,71.6,6.93
38,tuktoyaktuk,20,CA,1547168400,73,69.44,-133.03,-31.01,5.82
39,yinchuan,0,CN,1547170626,70,38.48,106.21,18.2,4.72
40,champerico,40,MX,1547167200,68,16.38,-93.6,69.8,11.41
41,busselton,0,AU,1547170652,97,-33.64,115.35,68.51,3.83
42,puerto escondido,20,MX,1547167500,69,15.86,-97.07,82.4,11.21
43,new norfolk,20,AU,1547168400,38,-42.78,147.06,73.4,6.93
44,poum,64,MK,1547170653,75,41.28,20.71,14.06,0.92
45,port alfred,64,ZA,1547170653,95,-33.59,26.89,65.77,6.06
46,kapaa,90,US,1547168640,66,22.08,-159.32,78.98,6.93
47,camacupa,36,AO,1547170654,88,-12.02,17.48,64.1,6.29
48,huanren,0,CN,1547170488,58,41.26,125.37,25.04,1.81
49,aboisso,44,CI,1547170654,92,5.47,-3.21,78.23,4.16
50,chokurdakh,32,RU,1547170654,0,70.62,147.9,-38.19,3.15
51,palmer,0,AU,1547168400,24,-34.85,139.16,82.4,10.29
52,fort nelson,40,CA,1547168400,83,58.81,-122.69,-11.21,2.24
53,cape town,40,ZA,1547168400,82,-33.93,18.42,62.6,6.93
54,taoudenni,0,ML,1547170656,60,22.68,-3.98,37.06,3.6
55,husavik,88,CA,1547170656,88,50.56,-96.99,11.54,7.74
56,yaan,0,NG,1547170656,88,7.38,8.57,68.69,3.6
57,nanakuli,90,US,1547168220,69,21.39,-158.15,80.06,8.05
58,pathein,8,MM,1547170657,71,16.78,94.73,77.74,4.5
59,pochutla,20,MX,1547167500,78,15.74,-96.47,82.4,9.75
60,touros,20,BR,1547168400,83,-5.2,-35.46,78.8,8.05
61,plastunovskaya,0,RU,1547168400,88,45.3,39.27,37.4,6.71
62,kondol,76,RU,1547170658,84,52.82,45.06,5.11,8.97
63,chuy,80,UY,1547170658,100,-33.69,-53.46,66.35,3.6
64,sitka,12,US,1547170659,54,37.17,-99.65,45.56,16.02
65,bredasdorp,0,ZA,1547168400,76,-34.53,20.04,55.4,1.12
66,mahebourg,75,MU,1547168400,88,-20.41,57.7,77.0,16.11
67,bambous virieux,75,MU,1547168400,88,-20.34,57.76,77.0,16.11
68,castro,32,CL,1547168400,71,-42.48,-73.76,51.8,4.7
69,nuuk,0,GL,1547167800,78,64.17,-51.74,15.8,11.41
70,yumen,0,CN,1547170662,68,40.29,97.04,10.06,10.42
71,hasaki,20,JP,1547168400,36,35.73,140.83,48.2,16.11
72,iqaluit,75,CA,1547168400,61,63.75,-68.52,-18.41,13.87
73,xai-xai,48,MZ,1547170663,80,-25.04,33.64,82.51,16.8
74,mayo,90,CA,1547168400,74,63.59,-135.9,-23.81,1.25
75,coquimbo,75,CL,1547168400,87,-29.95,-71.34,59.0,6.93
76,jacareacanga,92,BR,1547170664,99,-6.22,-57.76,71.66,3.27
77,college,1,US,1547168280,74,64.86,-147.8,-22.01,3.15
78,atuona,20,PF,1547170665,99,-9.8,-139.03,81.61,16.46
79,hobart,20,AU,1547168400,38,-42.88,147.33,73.4,6.93
80,perivolion,75,GR,1547169600,93,39.42,20.01,42.8,8.86
81,soubre,0,CI,1547170666,95,5.79,-6.61,74.23,4.27
82,kalmunai,76,LK,1547170666,97,7.42,81.82,75.8,7.18
83,buala,92,SB,1547170667,90,-8.15,159.59,83.86,3.15
84,butaritari,76,KI,1547170667,100,3.07,172.79,85.79,8.63
85,dunedin,0,NZ,1547170485,60,-45.87,170.5,62.03,15.46
86,muravlenko,12,RU,1547170668,30,63.79,74.5,-20.95,5.73
87,burnie,76,AU,1547170668,100,-41.05,145.91,62.98,14.12
88,springbok,0,ZA,1547170598,86,-29.67,17.88,42.46,2.59
89,flin flon,90,CA,1547164800,77,54.77,-101.88,3.2,5.82
90,saint-philippe,90,CA,1547168580,66,45.36,-73.48,14.54,19.46
91,hithadhoo,88,MV,1547170670,100,-0.6,73.08,80.98,2.93
92,arraial do cabo,0,BR,1547164800,83,-22.97,-42.02,77.0,18.34
93,cocobeach,75,GA,1547168400,83,1.01,9.58,82.4,6.93
94,cap malheureux,75,MU,1547168400,88,-19.98,57.61,77.0,16.11
95,pitimbu,20,BR,1547168400,88,-7.47,-34.81,77.0,4.7
96,klaksvik,56,FO,1547169600,100,62.23,-6.59,44.6,10.29
97,gorele,0,TR,1547169600,32,41.03,39.0,53.6,3.36
98,shamkhal,90,RU,1547168400,80,43.06,47.33,33.8,13.42
99,saskylakh,56,RU,1547170672,0,71.97,114.09,-40.75,3.15
100,kavaratti,0,IN,1547170494,100,10.57,72.64,81.43,8.19
101,san patricio,56,PY,1547170673,94,-26.98,-56.83,75.76,2.48
102,bilibino,8,RU,1547170673,53,68.06,166.44,-10.92,2.93
103,zile,75,TR,1547169600,86,40.3,35.89,26.6,3.94
104,xiongzhou,90,CN,1547168400,100,32.34,118.83,41.0,8.95
105,lima,75,PE,1547168400,83,-12.06,-77.04,75.2,6.93
106,casper,40,US,1547167980,64,42.87,-106.31,37.04,9.17
107,lebu,0,ET,1547164800,53,8.96,38.73,51.8,4.7
108,kodiak,90,US,1547168100,61,39.95,-94.76,35.06,8.05
109,cidreira,48,BR,1547170621,90,-30.17,-50.22,73.55,6.17
110,urussu,64,RU,1547170675,83,54.6,53.47,7.58,5.84
111,thompson,20,CA,1547168400,76,55.74,-97.86,-7.61,8.05
112,voh,24,NC,1547170676,95,-20.95,164.69,79.54,22.95
113,talnakh,36,RU,1547170676,46,69.49,88.39,-29.1,3.6
114,bozhou,80,CN,1547170676,100,33.86,115.78,37.96,4.16
115,erenhot,0,CN,1547170676,64,43.65,111.97,11.0,9.64
116,lesnoy,76,RU,1547170677,83,59.78,52.13,14.47,6.51
117,brownwood,90,US,1547169300,50,31.71,-98.99,53.6,11.41
118,padang,20,ID,1547168400,88,-0.92,100.36,80.6,2.24
119,guerrero negro,0,MX,1547170677,100,27.97,-114.04,52.09,4.61
120,akureyri,88,IS,1547170678,84,65.68,-18.09,15.64,1.7
121,ribeira grande,88,PT,1547170476,100,38.52,-28.7,59.69,29.33
122,albany,90,US,1547168100,59,42.65,-73.75,26.06,19.46
123,chulman,48,RU,1547170679,65,56.84,124.9,-5.97,3.6
124,el alto,75,BO,1547168400,75,-16.5,-68.19,46.4,6.93
125,xam nua,44,LA,1547170679,93,20.42,104.04,63.97,1.92
126,la libertad,44,PE,1547170680,100,-16.38,-71.56,32.11,1.7
127,lethem,68,GY,1547170681,65,3.38,-59.8,79.81,13.11
128,balkhash,76,KZ,1547170681,94,46.84,74.98,12.71,9.64
129,taksimo,20,RU,1547170681,54,56.36,114.84,-13.12,1.59
130,airai,32,TL,1547170681,83,-8.93,125.41,79.49,1.81
131,rocha,64,UY,1547170682,88,-34.48,-54.34,64.42,3.94
132,cayenne,90,GF,1547168400,78,4.94,-52.33,78.8,3.36
133,kangaba,0,ML,1547170682,59,11.94,-8.41,60.64,5.06
134,port-cartier,90,CA,1547168400,85,50.03,-66.88,21.2,10.29
135,upernavik,20,GL,1547170682,100,72.79,-56.15,-5.56,7.74
136,petatlan,5,MX,1547167680,65,17.52,-101.27,82.4,5.82
